generations,fitness
1,-11.207976581902633
1,-6.3769062258179146
1,-6.6353638961058925
1,-8.41364899554417
1,-11.904659108459807
1,-9.62464361972138
1,-7.766280614122698
1,-7.325300585726452
1,-7.185438975367034
1,-8.45578480789222
1,-5.066727620996013
1,-20.29907107218571
1,-5.880745482712565
1,-10.139359831375762
1,-4.678284959505258
1,-13.691582256364368
1,-6.410094972885125
1,-8.791883889055477
1,-13.103135872709965
1,-8.082010923733073
1,-9.388291399461918
1,-16.655341965768145
1,-15.45576669811963
1,-8.437239350813178
1,-5.338478779541126
1,-8.196156796093922
1,-8.815214098405034
1,-14.606573749712915
1,-9.10674033523583
1,-8.307370758622644
1,-6.396230867655852
1,-8.615864217638208
1,-16.95826881636492
1,-5.79650896325216
1,-5.724116959390269
1,-9.65992453439947
1,-5.79965084899151
1,-9.282510298725262
1,-17.728875518675935
1,-13.913682414182919
1,-7.260491568247624
1,-4.9244425319431295
1,-6.005621509411771
1,-9.573587789290098
1,-8.085534990232789
1,-6.146250001357063
1,-6.709891824495336
1,-14.491669967494971
1,-8.617804215326803
1,-3.6462635676089086
10,-13.85458389664197
10,-10.613031155402203
10,-10.664208747004547
10,-11.761148868537335
10,-13.043668890369874
10,-12.759637123722943
10,-14.204439721584821
10,-12.46669140600851
10,-10.666278870202902
10,-10.194564361372478
10,-14.43471614043479
10,-14.925201234647208
10,-11.062770728742509
10,-16.319213464034995
10,-17.904139462131383
10,-11.810394258483107
10,-9.433884609847354
10,-12.419280609323566
10,-13.76461032759783
10,-16.310809811048244
10,-10.319887248890602
10,-11.738153302164484
10,-14.42324603346669
10,-11.151553151127988
10,-7.635788481933053
10,-23.956106221753167
10,-25.036375027915806
10,-12.966976852540723
10,-10.743304594671693
10,-12.145242743310275
10,-12.784264192738268
10,-9.315727153225387
10,-14.660246503127189
10,-10.825261056701947
10,-17.2153241736435
10,-19.673153401883695
10,-11.178770081166649
10,-21.458187384819013
10,-10.342784294132938
10,-9.701866425076105
10,-13.371816216162276
10,-19.61133447796521
10,-18.076634246779225
10,-17.17944011343059
10,-14.131713351496055
10,-7.632631922537477
10,-13.227377052281309
10,-18.541295464157972
10,-20.763506070760947
10,-25.22367749297149
25,-13.717818548842903
25,-17.362469369981593
25,-12.857107027261641
25,-14.14661658693556
25,-14.107214194624794
25,-11.225200419608829
25,-27.719610999395815
25,-11.593825782685581
25,-11.746803026997483
25,-13.844486171167711
25,-25.33937869047124
25,-11.789749745507795
25,-11.27027130753198
25,-13.423117042455427
25,-13.963401079778604
25,-20.88420700308555
25,-18.536626944734156
25,-19.769778882491153
25,-21.193506074545127
25,-11.907918447613628
25,-16.754579565433687
25,-14.545675504168807
25,-22.16340790431653
25,-16.22696080358022
25,-18.263424531059776
25,-21.224742968105847
25,-20.71286149195021
25,-19.576733567822743
25,-13.502203969600563
25,-11.802224309376477
25,-15.423476348265952
25,-11.425804770876404
25,-18.08857237325485
25,-14.840867425223523
25,-12.315021022887265
25,-13.974986780034602
25,-13.590669040717291
25,-16.898904422098738
25,-16.435674656296413
25,-13.788012680531864
25,-15.627400147354184
25,-17.725525577492597
25,-18.193480952016714
25,-14.750982420187892
25,-19.404514832041098
25,-17.218354966711885
25,-13.23035490157237
25,-14.29424630899518
25,-15.185187412115534
25,-13.73570001189892
50,-26.6498931292678
50,-25.937905004191656
50,-17.170244252572367
50,-17.143576811955114
50,-21.511998721796914
50,-22.60660093707287
50,-12.385996393814423
50,-18.803847271853815
50,-27.450308449463055
50,-23.37566361836858
50,-23.871625414842885
50,-16.675458485051166
50,-21.32841181597314
50,-22.689204561315236
50,-24.198356970620274
50,-26.25474410200688
50,-21.915632650599353
50,-22.8875586564189
50,-19.72766558533926
50,-16.47486460636277
50,-14.899216211490108
50,-18.068249964924522
50,-20.779246217477045
50,-18.343859331587307
50,-19.491119760570868
50,-12.04687185166136
